title,season,episode_num_in_season
Pilot,1,1
Cat's in the Bag...,1,2
...And the Bag's in the River,1,3
Cancer Man,1,4
Gray Matter,1,5
Break Bad,1,6
...And Make It Fast,1,7
The Morning After,2,1
Griff,2,2
Phoenix,2,3
Gray Matter,2,4
Bleeding Out,2,5
Twenty-Two,2,6
Seven Thirty-Seven,2,7
Phoenix Again,2,8
Over,2,9
Sunset,2,10
Out of My Mind,2,11
Phoenix Rising,2,12
CAB-N-NO-OBIN,2,13
Mandala,3,1
Category One,3,2
Kill the Chicken,3,3
Green Light,3,4
Ozymandias,3,5
Mas,3,6
Kafkaesque,3,7
Open House,3,8
I See You,3,9
Fly,3,10
Salud,3,11
One Minute,3,12
Half Measures,3,13
Full Measure,4,1
Box Cutter,4,2
Open House,4,3
Bullet Train to Hell,4,4
Cornered,4,5
Hermanos,4,6
Bug,4,7
Ozymandias,4,8
Negro y Azul,4,9
Salud,4,10
Crawl Space,4,11
Felina,4,12
Granite State,5,1
Blood Money,5,2
Confessions,5,3
Rabid Dog,5,4
To'hajiilee,5,5
Ozymandias,5,6
Buried,5,7
Salud,5,8
Monomania,5,9
Gulag,5,10
So Long,5,11
Felina,5,12
