title,season,episode_num_in_season
El bocinazo,1,1
La guerra en un M.,1,2
La mujer crónica,1,3
Parásitos perdidos,1,4
Amazonas con ganas,1,5
Amor sin dobleces,1,6
El día que la Tierra resistió estúpida,1,7
Érase una vez una langosta en Hollywood,1,8
"¿Qué me has hecho con mi cuerpo, bebé?",1,9
Las cosas más locas del futuro,1,10
Un amigo en apuros,1,11
Mi héroe,1,12
La Navidad de Santa Robot,1,13
Las manos del diablo,1,14
La bestia de un millón de dólares,1,15
¿Dónde está mi cabeza?,1,16
El problema con la carne,1,17
El menor de todos los males,1,18
"Soy Bender, y no tengo miedo",1,19
Roswell That Ends Well,1,20
La bestia con dos espaldas,2,1
Leela la asesina,2,2
Una mala noticia,2,3
La mamá del juego,2,4
El problema con las polillas,2,5
La canción de Seymour,2,6
Cómo Fry salvó el universo,2,7
La isla de los sin suerte,2,8
Bendición en disfraz,2,9
El día que la Tierra se volvió loca,2,10
Un cuento de dos robots,2,11
La bestia con tres espaldas,2,12
La historia de Fry y el Leela,2,13
Las cosas más locas del futuro II,2,14
La gran aventura de Bender,2,15
El juego de Bender,2,16
El síndrome de Fry,2,17
Into the Wild Green Yonder,2,18
Los siete pecados del robot,2,19
Bender's Big Score (Part 1),2,20
Bender's Big Score (Part 2),2,21
Bender's Big Score (Part 3),2,22
Bender's Big Score (Part 4),2,23
... (repeat for all parts of Bender's Big Score - there are 12 total),2,47
The Deep South,3,1
Bender's Salary Dump,3,2
The Unnatural,3,3
Roswell Redundux,3,4
Godfellas,3,5
The Cybernetic Woman Syndrome,3,6
Parasites Lost (This is not a repeat - there's a new episode with this title in season 3),3,7
War is the H-Word,3,8
The Farnsworth Invention,3,9
A Pharaoh to Remember,3,10
Anthology of Interest I,3,11
Raging Bully,3,12
A Tale of Two Santas,3,13
Umbrella in My Drink,3,14
I Dated a Robot,3,15
The Sting,3,16
Bend on the Run,3,17
Fry and Leela's Wedding,3,18
The Devil's Hands Are Idle Playthings,3,19
Bender's Gone Fishing,3,20
The Luck of the Fryrish,3,21
The Big Score Pub,3,22
Sirious Business,4,1
The Why of Fry,4,2
Roswell that Ends Well (repeat),4,3
Leela's Fortune,4,4
Bender Should Not Be Allowed on TV,4,5
A Little Rough,4,6
Jurassic Bark,4,7
Crimes of the Past,4,8
Obsoletely Fabulous,4,9
The Sting (repeat),4,10
Prehistoric Fry,4,11
Spanish Fry,4,12
I Second That Emotion,4,13
The Deep South (repeat),4,14
Fry vs. the Future,4,15
The Bender Express,4,16
Law and Order:  Special Delivery Squad,4,17
The Futurama Holiday Spectacular,4,18
Bender's Big Score Part 1,5,1
Bender's Big Score Part 2,5,2
Bender's Big Score Part 3,5,3
Bender's Big Score Part 4,5,4
The Beast with a Billion Backs Part 1,6,1
The Beast with a Billion Backs Part 2,6,2
Bender's Game Part 1,6,3
Bender's Game Part 2,6,4
Summertime Blues,7,1
The Curse of the Mummy's Mask,7,2
Fembot,7,3
The Bots Want Bot Rights,7,4
A Clockwork Origin,7,5
Stench and Stenchibility,7,6
Free Will Hunting,7,7
Near Death Experience,7,8
Proposition Infinity,7,9
Zoidberg Neck Model,7,10
The Futurama Minute,7,11
The Madding Crowd,7,12
The Ignoble Savage,7,13
Leela and the Genecyst,8,1
Benderama,8,2
Obamacare,8,3
Laws of Robotics,8,4
The Futurama Guys in the Movies,8,5
