season,episode_num_in_season,title
1,1,Death Has a Shadow
1,2,I Never Met the Dead Man
1,3,Chitty Chitty Death Bang
1,4,Mind Over Murder
1,5,A Hero Sits Next Door
1,6,The Son Also Draws
1,7,Brian: Portrait of a Dog
2,1,"Peter, Peter, Caviar Eater"
2,2,Holy Crap
2,3,Da Boom
2,4,Brian in Love
2,5,Love Thy Trophy
2,6,Death Is a Bitch
2,7,The King Is Dead
2,8,"I Am Peter, Hear Me Roar"
2,9,"If I'm Dyin', I'm Lyin'"
2,10,Running Mates
2,11,"A Picture is Worth 1,000 Bucks"
2,12,Fifteen Minutes of Shame
2,13,Road to Rhode Island
2,14,Let's Go to the Hop
2,15,Dammit Janet
2,16,There's Something About Paulie
2,17,He's Too Sexy for His Fat
2,18,E. Peterbus Unum
2,19,The Story on Page One
2,20,Wasted Talent
2,21,"Fore, Father"
3,1,The Thin White Line
3,2,Brian Does Hollywood
3,3,Mr. Griffin Goes to Washington
3,4,"One If by Clam, Two If by Sea"
3,5,And the Wiener Is...
3,6,Death Lives
3,7,Lethal Weapons
3,8,The Kiss Seen Around the World
3,9,Mr. Saturday Knight
3,10,A Fish Out of Water
3,11,Emission Impossible
3,12,To Love and Die in Dixie
3,13,Screwed the Pooch
3,14,"Peter Griffin: Husband, Father... Brother?"
3,15,"Ready, Willing, and Disabled"
3,16,A Very Special Family Guy Freakin' Christmas
3,17,Brian Wallows and Peter's Swallows
3,18,From Method to Madness
3,19,"Stuck Together, Torn Apart"
3,20,Road to Europe
3,21,Family Guy Viewer Mail #1
3,22,When You Wish Upon a Weinstein
4,1,North by North Quahog
4,2,Fast Times at Buddy Cianci Jr. High
4,3,Blind Ambition
4,4,Don't Make Me Over
4,5,The Cleveland–Loretta Quagmire
4,6,Petarded
4,7,Brian the Bachelor
4,8,8 Simple Rules for Buying My Teenage Daughter
4,9,Breaking Out Is Hard to Do
4,10,Model Misbehavior
4,11,Peter's Got Woods
4,12,Perfect Castaway
4,13,Jungle Love
4,14,PTV
4,15,Brian Goes Back to College
4,16,The Courtship of Stewie's Father
4,17,The Fat Guy Strangler
4,18,"The Father, the Son, and the Holy Fonz"
4,19,Brian Sings and Swings
4,20,Patriot Games
4,21,I Take Thee Quagmire
4,22,Sibling Rivalry
4,23,Deep Throats
4,24,Peterotica
4,25,You May Now Kiss the... Uh... Guy Who Receives
4,26,Petergeist
4,27,The Griffin Family History
4,28,Stewie B. Goode (Part 1)[c]
4,29,"Bango Was His Name, Oh! (Part 2)[c]"
4,30,Stu and Stewie's Excellent Adventure (Part 3)[c]
5,1,Stewie Loves Lois
5,2,Mother Tucker
5,3,Hell Comes to Quahog
5,4,Saving Private Brian
5,5,Whistle While Your Wife Works
5,6,Prick Up Your Ears
5,7,Chick Cancer
5,8,Barely Legal
5,9,Road to Rupert
5,10,Peter's Two Dads
5,11,The Tan Aquatic with Steve Zissou
5,12,Airport '07
5,13,Bill & Peter's Bogus Journey
5,14,No Meals on Wheels
5,15,Boys Do Cry
5,16,No Chris Left Behind
5,17,"It Takes a Village Idiot, and I Married One"
5,18,Meet the Quagmires
6,1,Blue Harvest
6,2,Movin' Out (Brian's Song)
6,3,"Believe It or Not, Joe's Walking on Air"
6,4,Stewie Kills Lois (Part 1)
6,5,Lois Kills Stewie (Part 2)
6,6,Padre de Familia
6,7,Peter's Daughter
6,8,McStroke
6,9,Back to the Woods
6,10,"Play It Again, Brian"
6,11,The Former Life of Brian
6,12,Long John Peter
