"title,season,episode_num_in_season"
"Space Pilot 3000,1,1"
"The Series Has Landed,1,2"
"I, Roommate,1,3"
"Love's Labours Lost in Space,1,4"
"Fear of a Bot Planet,1,5"
"A Fishful of Dollars,1,6"
"My Three Suns,1,7"
"A Big Piece of Garbage,1,8"
"Hell Is Other Robots,1,9"
"A Flight to Remember,1,10"
"Mars University,1,11"
"When Aliens Attack,1,12"
"Fry and the Slurm Factory,1,13"
"I Second That Emotion,2,1"
"Brannigan, Begin Again,2,2"
"A Head in the Polls,2,3"
"Xmas Story,2,4"
"Why Must I Be a Crustacean in Love?,2,5"
"The Lesser of Two Evils,2,6"
"Put Your Head on My Shoulders,2,7"
"Raging Bender,2,8"
"A Bicyclops Built for Two,2,9"
"A Clone of My Own,2,10"
"How Hermes Requisitioned His Groove Back,2,11"
"The Deep South,2,12"
"Bender Gets Made,2,13"
"Mother's Day,2,14"
"The Problem with Popplers,2,15"
"Anthology of Interest I,2,16"
"War Is the H-Word,2,17"
"The Honking,2,18"
"The Cryonic Woman,2,19"
"Amazon Women in the Mood,3,1"
"Parasites Lost,3,2"
"A Tale of Two Santas,3,3"
"The Luck of the Fryrish,3,4"
"The Birdbot of Ice-Catraz,3,5"
"Bendless Love,3,6"
"The Day the Earth Stood Stupid,3,7"
"That's Lobstertainment!,3,8"
"The Cyber House Rules,3,9"
"Where the Buggalo Roam,3,10"
"Insane in the Mainframe,3,11"
"The Route of All Evil,3,12"
"Bendin' in the Wind,3,13"
"Time Keeps on Slippin',3,14"
"I Dated a Robot,3,15"
"A Pharaoh to Remember,3,16"
"Anthology of Interest II,3,17"
"Roswell That Ends Well,3,18"
"Godfellas,3,19"
"Future Stock,3,20"
"The 30% Iron Chef,3,21"
"Kif Gets Knocked Up a Notch,4,1"
"Leela's Homeworld,4,2"
"Love and Rocket,4,3"
"Less Than Hero,4,4"
"A Taste of Freedom,4,5"
"Bender Should Not Be Allowed on TV,4,6"
"Jurassic Bark,4,7"
"Crimes of the Hot,4,8"
"Teenage Mutant Leela's Hurdles,4,9"
"The Why of Fry,4,10"
"Where No Fan Has Gone Before,4,11"
"The Sting,4,12"
"Bend Her,4,13"
"Obsoletely Fabulous,4,14"
"The Farnsworth Parabox,4,15"
"Three Hundred Big Boys,4,16"
"Spanish Fry,4,17"
"The Devil's Hands Are Idle Playthings,4,18"
"Rebirth,5,1"
"In-A-Gadda-Da-Leela,5,2"
"Attack of the Killer App,5,3"
"Proposition Infinity,5,4"
"The Duh-Vinci Code,5,5"
"Lethal Inspection,5,6"
"The Late Philip J. Fry,5,7"
"That Darn Katz!,5,8"
"A Clockwork Origin,5,9"
"The Prisoner of Benda,5,10"
"Lrrreconcilable Ndndifferences,5,11"
"The Mutants Are Revolting,5,12"
"The Futurama Holiday Spectacular,5,13"
"Neutopia,6,1"
"Benderama,6,2"
"Ghost in the Machines,6,3"
"Law and Oracle,6,4"
"The Silence of the Clamps,6,5"
"Yo Leela Leela,6,"
