title,season,episode_num_in_season
Simpsons Roasting on an Open Fire,1,1
Bart the Genius,1,2
Homer's Odyssey,1,3
There's No Disgrace Like Home,1,4
Bart the General,1,5
Moaning Lisa,1,6
The Call of the Simpsons,1,7
The Telltale Head,1,8
Life on the Fast Lane,1,9
Homer's Night Out,1,10
The Crepes of Wrath,1,11
Krusty Gets Busted,1,12
Some Enchanted Evening,1,13
Bart Gets an 'F',2,1
Simpson and Delilah,2,2
Treehouse of Horror,2,3
Two Cars in Every Garage and Three Eyes on Every Fish,2,4
Dancin' Homer,2,5
Dead Putting Society,2,6
Bart vs. Thanksgiving,2,7
Bart the Daredevil,2,8
Itchy & Scratchy & Marge,2,9
Bart Gets Hit by a Car,2,10
"One Fish, Two Fish, Blowfish, Blue Fish",2,11
The Way We Was,2,12
Homer vs. Lisa and the 8th Commandment,2,13
Principal Charming,2,14
"Oh Brother, Where Art Thou?",2,15
Bart's Dog Gets an 'F',2,16
Old Money,2,17
Brush with Greatness,2,18
Lisa's Substitute,2,19
The War of the Simpsons,2,20
Three Men and a Comic Book,2,21
Blood Feud,2,22
Stark Raving Dad,3,1
Mr. Lisa Goes to Washington,3,2
When Flanders Failed,3,3
Bart the Murderer,3,4
Homer Defined,3,5
"Like Father, Like Clown",3,6
Treehouse of Horror II,3,7
Lisa's Pony,3,8
Saturdays of Thunder,3,9
Flaming Moe's,3,10
Burns Verkaufen der Kraftwerk,3,11
I Married Marge,3,12
Radio Bart,3,13
Lisa the Greek,3,14
Homer Alone,3,15
Bart the Lover,3,16
Homer at the Bat,3,17
Separate Vocations,3,18
Dog of Death,3,19
Colonel Homer,3,20
Black Widower,3,21
The Otto Show,3,22
Bart's Friend Falls in Love,3,23
"Brother, Can You Spare Two Dimes?",3,24
Kamp Krusty,4,1
A Streetcar Named Marge,4,2
Homer the Heretic,4,3
Lisa the Beauty Queen,4,4
Treehouse of Horror III,4,5
Itchy & Scratchy: The Movie,4,6
Marge Gets a Job,4,7
New Kid on the Block,4,8
Mr. Plow,4,9
Lisa's First Word,4,10
Homer's Triple Bypass,4,11
Marge vs. the Monorail,4,12
Selma's Choice,4,13
Brother from the Same Planet,4,14
I Love Lisa,4,15
Duffless,4,16
Last Exit to Springfield,4,17
So It's Come to This: A Simpsons Clip Show,4,18
The Front,4,19
Whacking Day,4,20
Marge in Chains,4,21
Krusty Gets Kancelled,4,22
Homer's Barbershop Quartet,5,1
Cape Feare,5,2
Homer Goes to College,5,3
Rosebud,5,4
Treehouse of Horror IV,5,5
Marge on the Lam,5,6
Bart's Inner Child,5,7
Boy-Scoutz 'n the Hood,5,8
The Last Temptation of Homer,5,9
"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",5,10
Homer the Vigilante,5,11
Bart Gets Famous,5,12
Homer and Apu,5,13
Lisa vs. Malibu Stacy,5,14
Deep Space Homer,5,15
Homer Loves Flanders,5,16
Bart Gets an Elephant,5,17
Burns' Heir,5,18
Sweet Seymour Skinner's Baadasssss Song,5,19
The Boy Who Knew Too Much,5,20
Lady Bouvier's Lover,5,21
Secrets of a Successful Marriage,5,22
Bart of Darkness,6,1
Lisa's Rival,6,2
Another Simpsons Clip Show,6,3
Itchy & Scratchy Land,6,4
Sideshow Bob Roberts,6,5
Treehouse of Horror V,6,6
Bart's Girlfriend,6,7
Lisa on Ice,6,8
Homer Badman,6,9
Grampa vs. Sexual Inadequacy,6,10
Fear of Flying,6,11
Homer the Great,6,12
And Maggie Makes Three,6,13
Bart's Comet,6,14
Homie the Clown,6,15
Bart vs. Australia,6,16
Homer vs. Patty and Selma,6,17
A Star Is Burns,6,18
Lisa's Wedding,6,19
Two Dozen and One Greyhounds,6,20
